Iteration,Fitness,Paths
0,-3,0
1,-3,0
2,-3,0
4,-2,0
6,-1,0
7,-2,0
8,-2,0
9,-2,0
11,-4,0
12,-2,0
13,-2,0
14,-3,0
15,-4,0
17,-2,0
18,-2,0
19,-2,0
22,-3,0
25,-3,0
26,-4,0
28,-5,0
29,-3,0
30,-2,0
32,-2,0
33,-2,0
34,-2,0
35,-2,0
36,-2,0
37,-4,0
39,-3,0
40,-1,0
42,-2,0
43,-4,0
44,-4,0
45,-4,0
47,-3,0
48,-3,0
50,-2,0
51,-2,0
54,-2,0
55,-2,0
56,-2,0
58,-3,0
59,-3,0
60,-2,0
62,-2,0
63,0,0
66,-2,0
67,-3,0
68,-3,0
70,-2,0
71,-2,0
72,-2,0
73,-2,0
75,-3,0
76,-3,0
78,-4,0
81,-5,0
82,-3,0
83,-3,0
84,-3,0
86,-3,0
87,-3,0
88,-4,0
89,-4,0
91,-4,0
92,-4,0
93,-4,0
95,-5,0
96,-5,0
97,-5,0
98,-4,0
99,-3,0
100,-3,0
101,-2,0
103,-3,0
104,-3,0
105,-3,0
106,-3,0
107,-4,0
108,-5,0
109,-4,0
110,-3,0
111,-3,0
112,-3,0
113,-4,0
114,-3,0
115,-3,0
116,-4,0
117,-3,0
118,-3,0
119,-3,0
120,-3,0
121,-3,0
122,-2,0
126,-2,0
129,-2,0
132,-3,0
133,-4,0
134,-4,0
136,-4,0
137,-4,0
138,-4,0
140,-3,0
141,-4,0
142,-4,0
143,-3,0
144,-3,0
145,-3,0
149,-3,0
151,-3,0
152,-2,0
153,-2,0
154,-2,0
155,-2,0
156,-2,0
158,-2,0
160,-4,0
161,-3,0
162,-2,0
163,-2,0
164,-2,0
167,-2,0
168,-2,0
170,-1,0
171,-1,0
174,-1,0
175,-2,0
177,-2,0
182,-2,0
186,-2,0
193,-2,0
194,-2,0
195,-2,0
196,-3,0
200,-3,0
202,-2,0
203,-1,0
204,-1,0
207,-1,0
210,-1,0
214,-1,0
215,-1,0
216,-1,0
217,-1,0
219,-1,0
220,-1,0
221,-1,0
222,-1,0
223,-1,0
224,-1,0
225,-1,0
227,-1,0
228,-1,0
231,-1,0
232,-1,0
233,-1,0
236,-1,0
238,-1,0
239,-1,0
240,-1,0
241,-1,0
243,-1,0
244,-2,0
246,-2,0
247,-2,0
249,-2,0
251,-2,0
252,-2,0
253,-2,0
257,-2,0
259,-1,0
260,-1,0
267,-1,0
268,-1,0
270,-1,0
273,-1,0
274,-1,0
277,-1,0
283,-1,0
285,-1,0
287,-1,0
289,-1,0
294,6.87045,5
296,7.91825,6
309,7.50242,6
316,7.91825,6
326,8.25254,6
345,8.6779,6
362,8.6779,6
383,7.83562,6
385,8.7847,6
403,8.74141,6
425,9.61804,6
427,9.61804,6
435,9.49899,6
440,9.49899,6
450,9.49899,6
456,9.49899,6
479,9.49899,6
480,9.49899,6
481,10.0268,6
490,9.93087,6
527,9.93087,6
564,9.93087,6
601,9.93087,6
621,10.0083,6
653,10.0083,6
686,10.0083,6
694,10.0083,6
757,10.0083,6
774,10.0083,6
874,10.0083,6
913,10.0083,6
920,10.0083,6
931,10.0083,6
935,10.0083,6
959,10.0083,6
986,10.0083,6
