Iteration,Fitness,Paths
0,-8,0
1,-6,0
2,-5,0
3,-4,0
4,-4,0
5,-6,0
6,-6,0
7,-6,0
8,-6,0
9,-4,0
10,-4,0
12,-4,0
13,-4,0
14,-4,0
15,-4,0
16,-6,0
17,-5,0
18,-3,0
19,-3,0
23,-5,0
24,-5,0
27,-4,0
28,-4,0
29,-3,0
30,-3,0
31,-2,0
32,-3,0
33,-5,0
34,-5,0
35,-5,0
36,-6,0
37,-6,0
38,-7,0
39,-6,0
40,-5,0
42,-5,0
43,-7,0
44,-7,0
45,-5,0
46,-7,0
47,-7,0
48,-8,0
49,-4,0
50,-2,0
51,-2,0
52,-2,0
53,-3,0
55,-1,0
57,-1,0
58,-1,0
59,-1,0
60,0,0
61,0,0
66,0,0
67,0,0
70,0,0
71,-2,0
73,-3,0
75,-3,0
76,-1,0
78,-3,0
79,-3,0
81,-3,0
84,-4,0
85,-4,0
87,-5,0
88,-4,0
91,-5,0
93,-7,0
94,-6,0
95,-5,0
96,-5,0
97,-5,0
98,-5,0
99,-6,0
100,-5,0
101,-5,0
102,-4,0
103,-4,0
104,-3,0
105,-3,0
106,-2,0
107,-3,0
108,-4,0
109,-4,0
110,-4,0
111,-2,0
113,-3,0
114,-3,0
116,-5,0
117,-5,0
118,-4,0
119,-3,0
120,-3,0
121,-3,0
124,-2,0
125,-2,0
129,-2,0
133,-3,0
137,-3,0
138,-2,0
139,-2,0
140,-2,0
141,-2,0
142,-2,0
143,-2,0
144,-2,0
145,-1,0
146,-3,0
147,-4,0
150,-2,0
156,-3,0
158,-1,0
159,-1,0
161,-1,0
163,-1,0
164,-1,0
165,0,0
166,0,0
168,0,0
171,0,0
172,0,0
173,0,0
174,0,0
178,0,0
183,0,0
187,0,0
188,0,0
189,-1,0
192,-2,0
193,-2,0
195,-2,0
196,-2,0
197,-1,0
198,-1,0
199,-1,0
202,-1,0
203,-1,0
204,-1,0
205,-1,0
208,-1,0
210,-1,0
212,0,0
214,0,0
216,0,0
217,-1,0
220,-1,0
221,-1,0
222,-2,0
223,-2,0
224,-2,0
225,-3,0
226,-3,0
227,-3,0
228,-3,0
230,-2,0
231,-2,0
232,-2,0
233,-2,0
234,-2,0
236,-2,0
237,-3,0
238,-3,0
239,-3,0
240,-3,0
241,-2,0
242,-2,0
245,-2,0
246,-1,0
247,-1,0
248,-1,0
249,-1,0
250,-1,0
251,-1,0
252,-1,0
253,-2,0
254,-2,0
255,-2,0
256,-2,0
257,-2,0
258,-1,0
261,-1,0
263,-1,0
264,-1,0
265,-1,0
266,-1,0
267,-1,0
268,-1,0
269,-1,0
270,-1,0
272,-1,0
273,-1,0
274,-1,0
275,-1,0
281,-1,0
282,-1,0
283,0,0
285,0,0
287,0,0
288,0,0
289,0,0
290,-1,0
293,-2,0
294,-2,0
295,-2,0
296,-2,0
297,-2,0
298,-2,0
299,-2,0
302,-2,0
304,-1,0
306,-1,0
307,-1,0
308,-1,0
309,-1,0
310,-1,0
311,-1,0
312,-1,0
314,0,0
315,0,0
320,0,0
322,0,0
324,0,0
326,0,0
327,0,0
328,0,0
330,0,0
332,0,0
333,0,0
344,0,0
347,0,0
350,-1,0
351,-1,0
352,-1,0
353,-1,0
355,0,0
357,-1,0
359,-1,0
360,-1,0
361,0,0
363,0,0
364,0,0
366,0,0
367,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
388,0,0
389,0,0
392,0,0
394,0,0
395,0,0
398,0,0
399,0,0
400,0,0
402,0,0
405,0,0
406,0,0
407,0,0
409,0,0
413,0,0
416,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
425,0,0
429,0,0
430,0,0
431,0,0
436,0,0
437,0,0
442,0,0
443,0,0
444,0,0
445,0,0
447,0,0
448,0,0
452,0,0
453,0,0
455,0,0
457,0,0
458,0,0
459,0,0
461,0,0
462,0,0
464,0,0
465,0,0
466,0,0
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
474,0,0
475,0,0
476,0,0
477,0,0
478,0,0
481,0,0
482,0,0
483,0,0
486,0,0
490,0,0
491,0,0
493,0,0
494,0,0
497,0,0
500,0,0
501,0,0
502,0,0
503,0,0
506,0,0
509,0,0
510,0,0
511,0,0
512,0,0
513,0,0
515,0,0
516,0,0
517,0,0
518,0,0
519,0,0
520,0,0
521,0,0
522,0,0
523,0,0
524,0,0
528,0,0
529,0,0
531,0,0
532,0,0
534,0,0
536,0,0
538,0,0
541,0,0
542,0,0
543,0,0
544,0,0
546,0,0
550,0,0
551,0,0
554,0,0
555,0,0
556,0,0
557,0,0
558,0,0
560,0,0
561,0,0
563,0,0
564,0,0
565,0,0
566,0,0
567,0,0
568,0,0
571,0,0
574,0,0
575,0,0
577,0,0
578,0,0
580,0,0
583,0,0
587,0,0
590,0,0
593,0,0
594,0,0
596,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,0,0
607,0,0
609,0,0
610,0,0
611,0,0
613,0,0
614,0,0
615,0,0
616,0,0
618,0,0
619,0,0
620,0,0
624,0,0
625,0,0
627,0,0
628,0,0
629,0,0
630,0,0
631,0,0
632,0,0
635,0,0
636,0,0
638,0,0
639,0,0
640,0,0
641,0,0
643,0,0
646,0,0
651,0,0
652,0,0
654,0,0
657,0,0
658,0,0
659,0,0
660,0,0
662,0,0
664,0,0
665,0,0
666,0,0
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
679,0,0
682,0,0
685,0,0
686,0,0
688,0,0
689,0,0
690,0,0
692,0,0
693,0,0
696,0,0
698,0,0
701,0,0
702,0,0
703,0,0
705,0,0
706,0,0
707,0,0
708,0,0
711,0,0
712,0,0
713,0,0
715,0,0
717,0,0
718,0,0
719,0,0
720,0,0
721,0,0
722,0,0
723,0,0
724,0,0
725,0,0
731,0,0
734,0,0
737,0,0
740,0,0
741,0,0
742,0,0
747,0,0
751,0,0
752,0,0
753,0,0
755,0,0
757,0,0
758,0,0
761,0,0
762,0,0
763,0,0
764,0,0
766,0,0
767,0,0
769,0,0
773,0,0
775,0,0
776,0,0
777,0,0
780,0,0
784,0,0
786,0,0
788,0,0
789,0,0
790,0,0
791,0,0
792,0,0
793,0,0
796,0,0
798,0,0
800,0,0
801,0,0
805,0,0
806,0,0
807,0,0
809,0,0
813,0,0
814,0,0
817,0,0
819,0,0
820,0,0
821,0,0
822,0,0
824,0,0
825,0,0
826,0,0
828,0,0
829,0,0
830,0,0
833,0,0
835,0,0
836,0,0
839,0,0
840,0,0
841,0,0
842,0,0
843,0,0
844,0,0
845,0,0
847,0,0
850,0,0
852,0,0
853,0,0
854,0,0
856,0,0
858,0,0
859,0,0
860,0,0
861,0,0
862,0,0
863,0,0
864,0,0
867,0,0
869,0,0
870,0,0
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,0,0
878,0,0
880,0,0
881,0,0
882,0,0
887,0,0
891,0,0
892,0,0
893,0,0
894,0,0
896,0,0
898,0,0
899,0,0
901,0,0
902,0,0
904,0,0
905,0,0
906,0,0
908,0,0
909,0,0
910,0,0
911,0,0
919,0,0
920,0,0
922,0,0
924,0,0
925,0,0
927,0,0
930,0,0
931,0,0
932,0,0
933,0,0
934,0,0
935,0,0
937,0,0
938,0,0
939,0,0
940,0,0
941,0,0
943,0,0
944,0,0
947,0,0
948,0,0
951,0,0
952,0,0
954,0,0
955,0,0
957,0,0
961,0,0
962,0,0
963,0,0
966,0,0
967,0,0
971,0,0
972,0,0
973,0,0
974,0,0
975,0,0
977,0,0
979,0,0
980,0,0
981,0,0
983,0,0
984,0,0
985,0,0
987,0,0
988,0,0
990,0,0
991,0,0
992,0,0
994,0,0
995,0,0
996,0,0
997,0,0
998,0,0
1000,0,0
0,-21,0
2,-21,0
3,-20,0
4,-22,0
5,-22,0
6,-22,0
7,-23,0
8,-22,0
9,-22,0
10,-17,0
11,-17,0
12,-18,0
14,-18,0
16,-17,0
17,-18,0
18,-18,0
19,-18,0
21,-18,0
22,-18,0
23,-19,0
24,-19,0
25,-19,0
29,-19,0
30,-19,0
32,-20,0
33,-19,0
34,-19,0
35,-20,0
36,-20,0
38,-20,0
39,-20,0
40,-20,0
41,-21,0
42,-23,0
43,-23,0
44,-23,0
45,-22,0
46,-22,0
47,-20,0
49,-21,0
50,-20,0
51,-20,0
52,-20,0
53,-20,0
54,-20,0
56,-20,0
57,-19,0
58,-20,0
59,-20,0
60,-21,0
61,-21,0
63,-22,0
64,-23,0
65,-22,0
66,-22,0
67,-22,0
68,-22,0
70,-22,0
71,-23,0
72,-22,0
73,-22,0
74,-22,0
76,-22,0
77,-22,0
79,-21,0
80,-20,0
82,-20,0
83,-20,0
84,-19,0
85,-19,0
86,-20,0
87,-20,0
88,-21,0
90,-21,0
91,-20,0
92,-20,0
93,-19,0
94,-19,0
95,-19,0
99,-19,0
102,-20,0
103,-20,0
104,-20,0
105,-21,0
107,-22,0
108,-23,0
109,-23,0
110,-21,0
111,-20,0
112,-21,0
113,-21,0
114,-22,0
116,-21,0
117,-21,0
118,-22,0
119,-21,0
120,-19,0
121,-19,0
123,-18,0
125,-18,0
126,-17,0
129,-18,0
131,-19,0
132,-18,0
133,-17,0
134,-17,0
136,-16,0
137,-15,0
138,-16,0
139,-16,0
140,-16,0
141,-17,0
142,-15,0
145,-15,0
148,-16,0
152,-18,0
154,-17,0
157,-17,0
158,-14,0
161,-14,0
162,-13,0
164,-13,0
167,-13,0
168,-13,0
169,-14,0
170,-14,0
173,-14,0
174,-14,0
175,-15,0
177,-15,0
181,-15,0
182,-16,0
185,-16,0
186,-15,0
187,-15,0
188,-16,0
190,-15,0
191,-15,0
192,-15,0
193,-16,0
195,-17,0
196,-16,0
197,-15,0
198,-15,0
199,-15,0
201,-14,0
202,-13,0
206,-15,0
207,-14,0
208,-14,0
210,-15,0
211,-14,0
212,-14,0
214,-14,0
215,-14,0
217,-12,0
218,-13,0
219,-13,0
220,-11,0
221,-11,0
222,-11,0
225,-11,0
226,-11,0
227,-12,0
229,-12,0
230,-9,0
233,-9,0
234,-9,0
236,-9,0
237,-9,0
239,-9,0
240,-9,0
241,-9,0
242,-9,0
243,-9,0
249,-9,0
254,-8,0
255,-8,0
256,-9,0
