Iteration,Fitness,Paths
0,-5,0
1,-6,0
2,-5,0
3,-4,0
5,-4,0
7,-4,0
8,-3,0
11,-4,0
12,-3,0
13,-2,0
14,0,0
15,7.54127,5
16,7.86696,5
17,8.87462,6
27,8.6524,6
28,8.6517,6
33,8.72027,6
37,8.95419,6
43,8.63613,6
47,8.09993,6
48,9.49866,6
57,9.51142,6
61,9.17237,6
65,8.64709,6
67,8.457,6
75,8.64709,6
77,9.24709,6
81,8.61376,6
83,8.94709,6
88,8.74296,6
98,8.56203,6
99,7.31939,5
102,8.70416,6
105,8.07083,6
115,7.02244,5
116,8.18911,6
117,7.37361,6
118,8.04041,6
122,6.73144,5
123,7.359,6
124,7.63565,6
131,7.96898,6
133,8.46673,6
136,9.13789,6
137,9.24421,6
146,9.45,6
147,9.45,6
150,9.25072,6
154,9.12857,6
156,8.85079,6
157,8.12404,6
161,8.88945,6
163,8.97778,6
166,8.47778,6
167,8.72614,6
169,8.71926,6
171,8.02172,6
176,7.36657,6
177,8.20899,6
179,9.009,6
183,8.81159,6
184,8.80993,6
190,9.12646,6
196,9.29262,6
210,8.72222,6
221,9.56238,6
237,8.52964,6
238,8.60483,6
248,8.3653,6
250,8.22794,6
253,8.77149,6
254,9.20899,6
269,8.07457,6
272,9.20899,6
281,8.97062,6
285,9.30918,6
289,8.98546,6
291,9.30927,6
292,8.60201,6
318,8.30613,6
319,9.23563,6
321,9.00546,6
323,8.57689,6
324,8.51268,6
328,8.99355,6
330,9.06421,6
337,9.25274,6
339,8.94787,6
340,9.2812,6
344,8.96967,6
350,9.04032,6
359,9.00553,6
361,9.56109,6
368,9.57742,6
371,9.46539,6
375,9.83812,6
379,9.46539,6
382,9.48103,6
394,9.59815,6
395,9.91565,6
397,9.91565,6
405,9.85365,6
423,9.32951,6
431,9.39151,6
442,9.32951,6
444,9.32824,6
445,9.39151,6
477,9.72484,6
481,9.72484,6
486,9.56415,6
487,9.56415,6
489,9.62171,6
501,9.62211,6
510,9.76091,6
531,9.62211,6
535,9.62171,6
540,9.56415,6
547,9.16984,6
552,8.83295,6
556,8.88932,6
558,8.88932,6
565,8.84563,6
577,9.33658,6
592,9.78244,6
596,9.68099,6
598,9.68099,6
607,10.3477,6
608,10.3281,6
610,10.3468,6
612,10.3468,6
623,10.3468,6
628,10.3281,6
630,10.7091,6
718,10.7091,6
740,10.6997,6
745,10.7091,6
755,10.735,6
759,10.735,6
806,10.735,6
825,10.735,6
845,10.735,6
917,10.735,6
932,10.735,6
946,10.735,6
976,10.7091,6
981,10.6997,6
