Iteration,Fitness,Paths
0,-9,0
1,-8,0
2,-8,0
3,-9,0
5,-9,0
7,-8,0
9,-8,0
11,-8,0
12,-7,0
13,-8,0
14,-7,0
15,-8,0
16,-8,0
17,-8,0
18,-9,0
19,-10,0
20,-9,0
21,-9,0
22,-9,0
23,-8,0
25,-9,0
26,-9,0
28,-9,0
29,-10,0
30,-10,0
32,-10,0
33,-10,0
35,-10,0
36,-8,0
37,-9,0
39,-9,0
40,-8,0
41,-8,0
42,-8,0
43,-8,0
44,-9,0
46,-6,0
47,-5,0
48,-5,0
49,-5,0
50,-6,0
51,-6,0
52,-6,0
53,-6,0
54,-7,0
55,-5,0
56,-5,0
57,-5,0
58,-6,0
59,-6,0
60,-8,0
61,-6,0
62,-7,0
63,-6,0
64,-6,0
65,-7,0
68,-6,0
69,-4,0
72,-4,0
73,-5,0
74,-4,0
76,-5,0
77,-5,0
78,-5,0
79,-5,0
80,-5,0
82,-6,0
83,-6,0
85,-6,0
86,-6,0
87,-6,0
88,-6,0
89,-5,0
90,-4,0
93,-2,0
94,-2,0
96,-2,0
98,-2,0
99,-2,0
100,-3,0
102,-3,0
103,-2,0
105,-2,0
106,-1,0
107,7.24583,5
108,6.78742,5
109,6.88397,5
114,7.84596,6
125,8.38858,6
126,8.88064,6
127,8.89962,6
129,8.78844,6
131,9.06898,6
140,9.06898,6
141,8.77731,6
147,8.67537,6
150,8.57389,6
151,8.28514,6
160,8.57389,6
164,8.55058,6
167,8.21834,6
175,8.5711,6
176,8.88156,6
183,8.88156,6
185,8.93194,6
188,9.09861,6
190,8.93194,6
191,8.86262,6
192,9.16087,6
194,8.92899,6
195,9.07778,6
197,8.91813,6
198,9.35501,6
199,9.52168,6
201,9.66091,6
202,9.13146,6
206,8.78027,6
207,9.18432,6
209,8.69664,6
213,8.9883,6
214,9.52168,6
229,9.37089,6
231,9.482,6
247,8.9389,6
248,8.91116,6
250,8.91116,6
251,9.22429,6
253,9.22429,6
255,8.82499,6
257,7.99946,6
265,8.03475,6
268,8.11064,6
280,8.08524,6
281,7.99157,6
285,7.95267,6
286,7.97807,6
287,8.03431,6
288,7.91099,6
293,7.81411,6
294,8.06046,6
295,8.44673,6
302,8.35329,6
303,7.66136,6
305,7.82755,6
311,7.18834,6
312,7.96468,6
317,7.99136,6
318,8.63182,6
319,8.24925,6
320,8.51591,6
325,9.35224,6
326,8.80513,6
331,8.52681,6
333,8.6362,6
343,9.05799,6
354,8.72842,6
378,8.56971,6
388,8.82123,6
402,8.56691,6
404,8.83851,6
409,8.83851,6
420,8.60455,6
430,8.72654,6
434,8.88491,6
439,8.82677,6
445,8.88491,6
477,8.94046,6
498,8.9984,6
518,9.01502,6
519,8.93385,6
521,8.9392,6
525,8.89181,6
533,8.91857,6
551,9.025,6
560,9.01792,6
567,9.65497,6
588,9.21411,6
589,9.05678,6
594,9.13536,6
600,9.12286,6
603,9.54022,6
605,9.54229,6
634,9.54229,6
636,9.56692,6
646,9.59492,6
650,9.56692,6
676,9.56692,6
699,9.54229,6
742,9.54022,6
744,9.54022,6
749,9.54229,6
750,9.54022,6
755,9.54022,6
770,9.54022,6
809,9.54022,6
810,9.54022,6
812,9.54229,6
820,9.54022,6
844,9.54229,6
865,9.54022,6
886,9.53419,6
902,9.55983,6
908,9.56692,6
957,9.59492,6
